lastname,purchase_date,stars,price,favorite_flower
PERKINS,2017-04-08,5,19.599885954165785,iris
ROBINSON,2017-01-01,5,37.983903616820925,lilac
WILLIAMSON,2017-03-20,4,19.339137911467354,carnation
ROBINSON,2017-04-12,5,18.14061575407039,lilac
RHODES,2017-03-24,1,22.179522083926244,carnation
NGUYEN,2017-01-03,3,9.713732775024482,gerbera
ROBINSON,2017-08-20,2,18.907433251654652,lilac
GRAVES,2017-02-26,5,9.912851749826816,gerbera
RODRIQUEZ,2017-01-11,1,20.663897316192102,carnation
PERKINS,2017-07-09,5,40.36115273438848,iris
FERGUSON,2017-05-04,2,21.018300051245614,daffodil
MAY,2017-06-22,3,9.767947319089958,rose
MILLER,2017-07-25,3,20.090004538689225,daffodil
GREENE,2017-07-27,4,9.321970912000111,rose
OBRIEN,2017-02-16,4,40.62616176788084,sunflower
FREEMAN,2017-02-09,4,10.010868827679804,gerbera
RAMOS,2017-09-04,4,21.651084825013534,orchid
ROBINSON,2017-05-09,3,9.221863291317748,lilac
ROBINSON,2017-06-14,2,10.547645329062824,lilac
RUIZ,2017-07-29,4,20.45178856993353,iris
CLARK,2017-01-05,3,,gardenia
HARPER,2017-08-24,2,10.525911853492465,tulip
PAYNE,2017-01-21,1,19.77178904468374,rose
BOYD,2017-07-02,4,40.14728952584128,lilac
ROBINSON,2017-03-05,5,18.974158454725085,lilac
COX,2017-04-03,3,9.272833477585095,carnation
HALL,2017-04-23,3,22.706567033577024,daffodil
RHODES,2017-08-22,4,10.151628870901336,carnation
REYES,2017-01-18,4,20.54553211658084,rose
ROBINSON,2017-04-02,4,20.667826506358043,lilac
LEWIS,2017-07-28,5,40.13198438479372,gerbera
GREENE,2017-03-10,1,19.55589961642972,rose
TURNER,2017-06-29,5,39.434081624073144,iris
TURNER,2017-02-26,3,39.39570667359537,iris
VARGAS,2017-03-06,4,19.56203977003917,sunflower
PETERS,2017-05-03,4,20.3247234005108,orchid
FERGUSON,2017-06-21,5,9.848442903013567,daffodil
ROGERS,2017-01-30,3,40.36844909592911,gardenia
ELLIS,2017-05-15,5,18.773684018031272,daisy
COLLINS,2017-07-20,4,19.152947057097187,carnation
DANIELS,2017-06-21,5,9.957252361084425,rose
PETERS,2017-02-01,4,,orchid
ROBINSON,2017-08-11,5,10.106924174878474,lilac
MITCHELL,2017-05-29,5,21.054419463146782,lilac
ALLEN,2017-02-11,5,40.286232327831556,rose
CARLSON,2017-05-11,3,21.913345453148214,rose
REID,2017-03-25,3,11.346947792036717,jasmine
ROBINSON,2017-06-07,5,18.187913343092603,lilac
MARTIN,2017-06-23,3,38.97178490612093,lilac
FOSTER,2017-03-24,2,38.96400336060229,daffodil
MASON,2017-06-22,3,17.81234717565077,tulip
CALDWELL,2017-02-01,5,10.69803821222321,carnation
AUSTIN,2017-03-17,2,19.657933559091166,jasmine
VARGAS,2017-05-22,5,21.36768725521174,sunflower
GREEN,2017-02-13,5,,daffodil
BYRD,2017-06-30,5,41.56658581874373,gardenia
RIVERA,2017-06-30,3,19.475134709216423,daffodil
ROSE,2017-05-04,1,19.953792960230302,gardenia
WOODS,2017-07-12,3,20.3009193856499,sunflower
WAGNER,2017-07-17,4,19.05813230832499,iris
GONZALES,2017-05-09,2,38.55061586945739,lilac
DANIELS,2017-02-07,5,10.392627704199207,rose
GOMEZ,2017-01-02,4,19.296580605198763,tulip
BARNETT,2017-08-27,4,,gardenia
MONTGOMERY,2017-01-22,5,8.900795479674256,gardenia
ROBINSON,2017-06-20,3,39.98301160420699,lilac
HOLMES,2017-04-05,3,11.137140906561115,rose
THOMPSON,2017-05-07,1,9.780662511574203,tulip
CASTILLO,2017-02-26,4,9.429211255136568,gardenia
DANIELS,2017-07-31,5,38.16063278312034,rose
ROBINSON,2017-02-06,5,20.66425770975789,lilac
CALDWELL,2017-04-21,5,40.81756940071395,carnation
MOORE,2017-05-20,5,19.565067295442024,rose
ROBINSON,2017-08-08,5,19.78370082239843,lilac
RUSSELL,2017-07-26,5,10.599312153256943,carnation
STEWART,2017-08-13,2,19.81922256797939,tulip
KING,2017-08-20,2,20.2402395670576,rose
BROWN,2017-02-12,4,17.685223969794034,daffodil
WHEELER,2017-02-18,4,39.0900053263572,orchid
ROBINSON,2017-01-28,5,39.03062869437766,lilac
STEWART,2017-02-18,3,10.711600171359402,tulip
HILL,2017-02-13,4,9.517952448737823,daffodil
HOFFMAN,2017-01-30,2,19.66998831577703,sunflower
BELL,2017-01-11,2,39.62059784772226,gardenia
JACOBS,2017-02-11,3,20.447331988083103,carnation
MURRAY,2017-08-29,3,20.483871667987792,daffodil
GRAVES,2017-01-07,4,20.680632877909176,gerbera
ROBINSON,2017-01-24,5,20.783138135804542,lilac
FERGUSON,2017-02-25,2,18.18040688438931,daffodil
JACKSON,2017-04-04,2,18.708487234858218,gerbera
